1.000000000000000000e+11	5.000000000000000000e-01	1.000000000000000269e-09
1.258925411794166107e+11	5.000000000000000000e-01	3.162277660168366287e-09
1.584893192461110840e+11	5.000000000000000000e-01	9.999999999999919146e-09
1.995262314968882751e+11	5.000000000000000000e-01	3.162277660168404337e-08
2.511886431509582214e+11	5.000000000000000000e-01	1.000000000000004455e-07
3.162277660168379517e+11	5.000000000000000000e-01	3.162277660168379721e-07
3.981071705534969482e+11	5.000000000000000000e-01	9.999999999999959313e-07
5.011872336272714844e+11	5.000000000000000000e-01	3.162277660168353780e-06
6.309573444801943359e+11	5.000000000000000000e-01	1.000000000000008891e-05
7.943282347242821045e+11	5.000000000000000000e-01	3.162277660168392405e-05
1.000000000000000000e+12	5.000000000000000000e-01	1.330000000000000073e-04
1.260000000000000000e+12	5.000000000000000000e-01	1.410000000000000120e-04
1.580000000000000000e+12	5.000000000000000000e-01	1.459999999999999981e-04
2.000000000000000000e+12	5.000000000000000000e-01	1.530000000000000056e-04
2.510000000000000000e+12	5.000000000000000000e-01	1.600000000000000131e-04
3.160000000000000000e+12	5.000000000000000000e-01	1.689999999999999879e-04
3.980000000000000000e+12	5.000000000000000000e-01	1.789999999999999870e-04
5.010000000000000000e+12	5.000000000000000000e-01	1.920000000000000049e-04
6.310000000000000000e+12	5.000000000000000000e-01	2.069999999999999900e-04
7.940000000000000000e+12	5.000000000000000000e-01	2.280000000000000126e-04
1.000000000000000000e+13	5.000000000000000000e-01	2.779999999999999811e-04
1.260000000000000000e+13	5.000000000000000000e-01	3.970000000000000005e-04
1.580000000000000000e+13	5.000000000000000000e-01	6.149999999999999868e-04
2.000000000000000000e+13	5.000000000000000000e-01	1.010000000000000047e-03
2.510000000000000000e+13	5.000000000000000000e-01	1.750000000000000036e-03
3.160000000000000000e+13	5.000000000000000000e-01	3.010000000000000089e-03
3.980000000000000000e+13	5.000000000000000000e-01	4.830000000000000092e-03
5.010000000000000000e+13	5.000000000000000000e-01	6.980000000000000093e-03
6.310000000000000000e+13	5.000000000000000000e-01	9.050000000000000752e-03
7.940000000000000000e+13	5.000000000000000000e-01	1.069999999999999944e-02
1.000000000000000000e+14	5.000000000000000000e-01	1.170000000000000033e-02
1.260000000000000000e+14	5.000000000000000000e-01	1.220000000000000077e-02
1.580000000000000000e+14	5.000000000000000000e-01	1.260000000000000009e-02
2.000000000000000000e+14	5.000000000000000000e-01	1.400000000000000029e-02
2.510000000000000000e+14	5.000000000000000000e-01	1.789999999999999925e-02
